AS             ,convergence_time
1              ,177            
2              ,177            
3              ,148            
4              ,148            
5              ,145            
6              ,147            
7              ,118            
8              ,117            
9              ,90             
10             ,88             
11             ,60             
12             ,59             
13             ,30             
14             ,30             
15             ,0              
16             ,0              
17             ,0              



time           ,converged_ASes ,non_converged_ASes,total_nodes    
-10            ,17             ,0              ,17             
-9             ,17             ,0              ,17             
-8             ,17             ,0              ,17             
-7             ,17             ,0              ,17             
-6             ,17             ,0              ,17             
-5             ,17             ,0              ,17             
-4             ,17             ,0              ,17             
-3             ,17             ,0              ,17             
-2             ,17             ,0              ,17             
-1             ,17             ,0              ,17             
0              ,3.0            ,14.0           ,17             
1              ,3.0            ,14.0           ,17             
2              ,3.0            ,14.0           ,17             
3              ,3.0            ,14.0           ,17             
4              ,3.0            ,14.0           ,17             
5              ,3.0            ,14.0           ,17             
6              ,3.0            ,14.0           ,17             
7              ,3.0            ,14.0           ,17             
8              ,3.0            ,14.0           ,17             
9              ,3.0            ,14.0           ,17             
10             ,3.0            ,14.0           ,17             
11             ,3.0            ,14.0           ,17             
12             ,3.0            ,14.0           ,17             
13             ,3.0            ,14.0           ,17             
14             ,3.0            ,14.0           ,17             
15             ,3.0            ,14.0           ,17             
16             ,3.0            ,14.0           ,17             
17             ,3.0            ,14.0           ,17             
18             ,3.0            ,14.0           ,17             
19             ,3.0            ,14.0           ,17             
20             ,3.0            ,14.0           ,17             
21             ,3.0            ,14.0           ,17             
22             ,3.0            ,14.0           ,17             
23             ,3.0            ,14.0           ,17             
24             ,3.0            ,14.0           ,17             
25             ,3.0            ,14.0           ,17             
26             ,3.0            ,14.0           ,17             
27             ,3.0            ,14.0           ,17             
28             ,3.1            ,13.9           ,17             
29             ,3.8            ,13.2           ,17             
30             ,5.4            ,11.6           ,17             
31             ,5.4            ,11.6           ,17             
32             ,5.4            ,11.6           ,17             
33             ,5.4            ,11.6           ,17             
34             ,5.4            ,11.6           ,17             
35             ,5.4            ,11.6           ,17             
36             ,5.4            ,11.6           ,17             
37             ,5.4            ,11.6           ,17             
38             ,5.4            ,11.6           ,17             
39             ,5.4            ,11.6           ,17             
40             ,5.4            ,11.6           ,17             
41             ,5.4            ,11.6           ,17             
42             ,5.4            ,11.6           ,17             
43             ,5.4            ,11.6           ,17             
44             ,5.4            ,11.6           ,17             
45             ,5.4            ,11.6           ,17             
46             ,5.4            ,11.6           ,17             
47             ,5.4            ,11.6           ,17             
48             ,5.4            ,11.6           ,17             
49             ,5.4            ,11.6           ,17             
50             ,5.4            ,11.6           ,17             
51             ,5.4            ,11.6           ,17             
52             ,5.4            ,11.6           ,17             
53             ,5.4            ,11.6           ,17             
54             ,5.4            ,11.6           ,17             
55             ,5.4            ,11.6           ,17             
56             ,5.4            ,11.6           ,17             
57             ,5.6            ,11.4           ,17             
58             ,6.1            ,10.9           ,17             
59             ,7.5            ,9.5            ,17             
60             ,8.2            ,8.8            ,17             
61             ,8.2            ,8.8            ,17             
62             ,8.2            ,8.8            ,17             
63             ,8.2            ,8.8            ,17             
64             ,8.2            ,8.8            ,17             
65             ,8.2            ,8.8            ,17             
66             ,8.2            ,8.8            ,17             
67             ,8.2            ,8.8            ,17             
68             ,8.2            ,8.8            ,17             
69             ,8.2            ,8.8            ,17             
70             ,8.2            ,8.8            ,17             
71             ,8.2            ,8.8            ,17             
72             ,8.2            ,8.8            ,17             
73             ,8.2            ,8.8            ,17             
74             ,8.2            ,8.8            ,17             
75             ,8.2            ,8.8            ,17             
