AS             ,convergence_time
1              ,249            
2              ,224            
3              ,212            
4              ,192            
5              ,189            
6              ,184            
7              ,160            
8              ,150            
9              ,144            
10             ,108            
11             ,104            
12             ,95             
13             ,83             
14             ,66             
15             ,38             
16             ,27             
17             ,22             



time           ,converged_ASes ,non_converged_ASes,total_nodes    
-10            ,17             ,0              ,17             
-9             ,17             ,0              ,17             
-8             ,17             ,0              ,17             
-7             ,17             ,0              ,17             
-6             ,17             ,0              ,17             
-5             ,17             ,0              ,17             
-4             ,17             ,0              ,17             
-3             ,17             ,0              ,17             
-2             ,17             ,0              ,17             
-1             ,17             ,0              ,17             
0              ,0.0            ,17.0           ,17             
1              ,0.0            ,17.0           ,17             
2              ,0.0            ,17.0           ,17             
3              ,0.0            ,17.0           ,17             
4              ,0.0            ,17.0           ,17             
5              ,0.0            ,17.0           ,17             
6              ,0.0            ,17.0           ,17             
7              ,0.0            ,17.0           ,17             
8              ,0.0            ,17.0           ,17             
9              ,0.0            ,17.0           ,17             
10             ,0.0            ,17.0           ,17             
11             ,0.0            ,17.0           ,17             
12             ,0.0            ,17.0           ,17             
13             ,0.0            ,17.0           ,17             
14             ,0.0            ,17.0           ,17             
15             ,0.0            ,17.0           ,17             
16             ,0.0            ,17.0           ,17             
17             ,0.0            ,17.0           ,17             
18             ,0.0            ,17.0           ,17             
19             ,0.0            ,17.0           ,17             
20             ,0.0            ,17.0           ,17             
21             ,0.5            ,16.5           ,17             
22             ,1.0            ,16.0           ,17             
23             ,1.0            ,16.0           ,17             
24             ,1.0            ,16.0           ,17             
25             ,1.0            ,16.0           ,17             
26             ,1.7            ,15.3           ,17             
27             ,2.0            ,15.0           ,17             
28             ,2.0            ,15.0           ,17             
29             ,2.0            ,15.0           ,17             
30             ,2.0            ,15.0           ,17             
31             ,2.0            ,15.0           ,17             
32             ,2.0            ,15.0           ,17             
33             ,2.0            ,15.0           ,17             
34             ,2.0            ,15.0           ,17             
35             ,2.0            ,15.0           ,17             
36             ,2.0            ,15.0           ,17             
37             ,2.9            ,14.1           ,17             
38             ,3.0            ,14.0           ,17             
39             ,3.0            ,14.0           ,17             
40             ,3.0            ,14.0           ,17             
41             ,3.0            ,14.0           ,17             
42             ,3.0            ,14.0           ,17             
43             ,3.0            ,14.0           ,17             
44             ,3.0            ,14.0           ,17             
45             ,3.0            ,14.0           ,17             
46             ,3.0            ,14.0           ,17             
47             ,3.0            ,14.0           ,17             
48             ,3.0            ,14.0           ,17             
49             ,3.0            ,14.0           ,17             
50             ,3.0            ,14.0           ,17             
51             ,3.0            ,14.0           ,17             
52             ,3.0            ,14.0           ,17             
53             ,3.0            ,14.0           ,17             
54             ,3.0            ,14.0           ,17             
55             ,3.0            ,14.0           ,17             
56             ,3.0            ,14.0           ,17             
57             ,3.0            ,14.0           ,17             
58             ,3.0            ,14.0           ,17             
59             ,3.0            ,14.0           ,17             
60             ,3.0            ,14.0           ,17             
61             ,3.0            ,14.0           ,17             
62             ,3.0            ,14.0           ,17             
63             ,3.0            ,14.0           ,17             
64             ,3.0            ,14.0           ,17             
65             ,3.9            ,13.1           ,17             
66             ,4.0            ,13.0           ,17             
67             ,4.0            ,13.0           ,17             
68             ,4.0            ,13.0           ,17             
69             ,4.0            ,13.0           ,17             
70             ,4.0            ,13.0           ,17             
71             ,4.0            ,13.0           ,17             
72             ,4.0            ,13.0           ,17             
73             ,4.0            ,13.0           ,17             
74             ,4.0            ,13.0           ,17             
75             ,4.0            ,13.0           ,17             
